Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),cuantización,Attention Implementation
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,72.5609756097561,0.002958459505624037,10650.454220246533,0.0005149198769538637,468009.42675999843,51675,10915,3.5569674968719482,0.0030482611522945416,328.05588171054904,1424.3557747546784,14.647557655970255,0.9757630985109055,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,71.95121951219512,0.0039949559368666135,14381.84137271981,0.0006953220808116341,836396.0333867401,51675,10975,4.41520110766093,0.004092099378755261,244.37334175989173,1077.2676172942506,19.385464668273926,1.3104183483115999,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,72.5609756097561,0.0022625128973619577,8145.046430503047,0.00039379036978584873,271370.71724337025,51675,10795,5.121564626693726,0.0021374841595535312,467.83972434625,1875.0035216850802,16.65863537788391,0.7545202807321025,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,71.95121951219512,0.0022794057772201563,8205.860797992562,0.00039673057552516824,281459.2368031389,51675,10765,5.358772397041321,0.0021906397811102965,456.48764740917983,1820.4197312771985,17.149891018867493,0.7622722524842138,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,72.5609756097561,0.0023258110692027,8372.919849129721,0.00040480741659473,286710.6347572563,51675,10913,5.308322906494141,0.0021649376779977665,461.90706095745253,1827.7811981443008,17.121305346488953,0.7672427241940549,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,71.95121951219512,0.0032434687567212267,11676.487524196416,0.0005645257371073296,550150.3960077289,51675,10683,6.407122492790222,0.003210880978884327,311.4410053117155,1323.4970188472082,23.558043241500854,1.0929970536550049,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,57.54385964912281,0.011393142235084681,41015.312046304854,0.0019829764060164887,6950354.9294778155,170633,2280,0.1085902730623881,0.020028357129347953,49.929207550162964,1020.3911489158359,0.148646987321084,17.98917195013371,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.011415574573402688,41096.06846424968,0.001986880754500738,6939845.428858598,170633,2280,0.10795809992572718,0.02008623093889471,49.78534813435872,1023.9485243877458,0.14813056180351658,18.024591431688457,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,57.80701754385965,0.010836202138599435,39010.32769895797,0.0018860409822232319,6589214.848920488,170633,2280,0.10833896189405207,0.01991363199133622,50.21685649484071,1023.7020567807131,0.1481662258767245,17.10979285042016,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,57.89473684210527,0.012075659656813184,43472.37476452746,0.0021017685632683347,7620410.04715952,170633,2280,0.11236023317303574,0.020702849354660303,48.30252990151308,986.4218186606176,0.15376593188235635,19.06683103707345,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.19298245614035,0.005448818670308452,19615.74721311043,0.0009483668895671862,1580970.6143674906,170633,2280,0.23964714167410867,0.00539367397626241,185.4023814566853,2145.4021137625955,0.28279653348420797,8.60339790048703,16,FLASHINFER
