Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),cuantización, speculative_method
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,57.98245614035088,0.00418309413034593,15059.13886924535,0.0007280675333867093,941563.6078915393,170633,2280,3.1618468231625028,0.002461033432107223,406.33336668806044,2765.5283801046953,3.473577724562751,6.604885468967258,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,58.15789473684211,0.004179391800815364,15045.81048293531,0.0007274231429319141,924341.5364146605,170633,2280,6.54162499639723,0.0011230347449319405,890.4444003293979,2814.561637170339,6.826127131779988,6.599039685497943,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.028418574111713817,102306.86680216974,0.00494625282414379,43346255.26997602,51675,10892,0.10060290883227092,0.03738429521840152,26.749200276691965,147.6721275077494,2.5834671985812303,9.392844913897331,16,ngram
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.012234009290224467,44042.43344480808,0.0021293293169635684,8372948.043160138,51675,10802,0.3359242881216654,0.01632457281832032,61.25734566712495,328.6344427491209,4.6368519852801064,4.077248050806154,16,ngram
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,71.95121951219512,0.005867581439654305,21123.2931827555,0.0010212525495718319,1832776.7624418717,51675,10976,1.033057364550504,0.006869719627125966,145.56634830501267,722.0712682048683,7.887788512490013,1.924498285600902,16,ngram
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,72.5609756097561,0.004139176852898241,14901.036670433668,0.000720423731246939,917780.3803928803,51675,10665,1.8474530776341755,0.004735770741930826,211.15887032831512,1012.1491436079527,10.26528557141622,1.3971904988686046,16,ngram
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,72.5609756097561,0.0030240237495242207,10886.485498287195,0.0005263313336046906,485833.28914170124,51675,11082,3.5552331606547036,0.003064563570847001,326.3107378528338,1406.250221393829,14.875730991363525,0.9823574714209705,16,ngram
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,71.95121951219512,0.002569674403529477,9250.827852706117,0.0004472518299343055,356354.1935805403,51675,11008,5.349209666252136,0.0025275173315475155,395.64516037867605,1627.2283383698139,19.26066505908966,0.8403731697589133,16,ngram
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.009038111655013,32537.2019580468,0.0015730833335550127,4343251.214686031,170633,2280,0.07336006269120333,0.021866328779019808,45.73241398251886,1295.367208589718,0.11709272024924294,14.270702613178422,16,ngram
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.80701754385965,0.005236654440291093,18851.955985047935,0.0009114397053326648,1469346.6296193984,170633,2280,0.22685848620899937,0.0058274855739191955,171.60059640052677,2218.501883443908,0.2734783708003529,8.268401747828042,16,ngram
