Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen)," cuantización"
Qwen/Qwen2.5-3B-Instruct,hf,cuda,mmlu,1140,18,64,65.78947368421053,0.010205405969856498,36739.461491483395,0.0017762509090535237,6019982.400220122,339176,2280,3.5721495151519775,0.043665500586492975,22.9013749199827,2083.878112762796,0.1437333619385435,16.113798899773418,16
Qwen/Qwen2.5-3B-Instruct,llamacpp,cuda,humaneval,164,164,1,45.1219512195122,0.023791173743037602,85648.22547493537,0.004140853789975696,32703075.5059454,51675,8803,0.12613041226456806,0.041025192645765304,24.375266403611192,158.38979362450027,2.328232673610129,9.729436041682991,16
Qwen/Qwen2.5-3B-Instruct,llamacpp,cuda,humaneval,164,164,1,45.1219512195122,0.023717484298511674,85382.94347464203,0.004128028142155957,32579496.57329229,51675,8803,0.12591812668777094,0.040999496794283205,24.390543255141505,158.49814142593362,2.326641116200424,9.699300633266162,16
Qwen/Qwen2.5-3B-Instruct,llamacpp,cuda,humaneval,164,164,1,45.1219512195122,0.023514649505290725,84652.7382190466,0.00409272474639585,32298702.8072865,51675,8803,0.1258862876310581,0.04099717801583838,24.39192277121297,158.50879004516943,2.326484812469017,9.616351041582028,16
Qwen/Qwen2.5-3B-Instruct,llamacpp,cuda,mmlu,1140,1140,1,65.70175438596492,0.009583021036646782,34498.87573192841,0.0016679248114283725,5100179.00756356,170633,1140,0.0889456916273686,0.040735091870291194,24.548858345138957,1161.9151744110009,0.1296807834976598,30.262171694674045,16
Qwen/Qwen2.5-3B-Instruct,llamacpp,cuda,mmlu,1140,1140,1,65.70175438596492,0.009385459764063154,33787.65515062735,0.001633539271935192,5000379.780835765,170633,1140,0.08903517743997406,0.04078436859867029,24.51919777992109,1160.6732173488354,0.12981954603864435,29.63829399177838,16
Qwen/Qwen2.5-3B-Instruct,llamacpp,cuda,mmlu,1140,1140,1,65.70175438596492,0.009985977833137065,35949.52019929343,0.0017380594418575062,5312872.596670714,170633,1140,0.08892224671547873,0.04071549344481083,24.5606749517965,1162.3009625833795,0.12963774016028956,31.534666841485464,16
Qwen/Qwen2.5-3B-Instruct-Q8_0,llamacpp,cuda,humaneval,164,164,1,43.292682926829265,0.015017056513774317,54061.403449587546,0.00261371868622242,12955650.74621631,51675,8709,0.11332424966300406,0.025383141410653304,39.39622696110813,251.97065356622653,1.461261923720197,6.207532833802681,8
Qwen/Qwen2.5-3B-Instruct-Q8_0,llamacpp,cuda,humaneval,164,164,1,43.292682926829265,0.015086727393984152,54312.218618342944,0.0026258449029229417,13007306.049888028,51675,8709,0.1131197897399344,0.02536912333446524,39.4179959163764,252.1343771317084,1.4603130526658965,6.236332370920076,8
Qwen/Qwen2.5-3B-Instruct-Q8_0,llamacpp,cuda,humaneval,164,164,1,43.292682926829265,0.014760280423922335,53137.009526120404,0.0025690268077836827,12730491.461583707,51675,8709,0.11320609581179736,0.025377519944598664,39.404953761560904,252.04252270289751,1.4608452494551496,6.1013904611459875,8
Qwen/Qwen2.5-3B-Instruct-Q8_0,llamacpp,cuda,mmlu,1140,1140,1,66.14035087719297,0.006914249339303809,24891.29762149371,0.001203425097505828,2885261.7483825665,170633,1140,0.07661559560842682,0.025063770277458326,39.8982271593581,1481.8942748378738,0.10167936588588514,21.834471597801503,8
Qwen/Qwen2.5-3B-Instruct-Q8_0,llamacpp,cuda,mmlu,1140,1140,1,66.14035087719297,0.007296970469591284,26269.09369052862,0.001270037710232363,3046407.4557746737,170633,1140,0.07666144036410148,0.025065984014879195,39.894703491648244,1481.1941921786463,0.10172742437898066,23.04306464081458,8
Qwen/Qwen2.5-3B-Instruct-Q8_0,llamacpp,cuda,mmlu,1140,1140,1,66.14035087719297,0.00704836152836683,25374.101502120586,0.0012267673240122469,2943565.3098400924,170633,1140,0.07668429487629941,0.025075952002876684,39.878844874375304,1480.716436884676,0.10176024687917609,22.257983773789988,8
Qwen/Qwen2.5-3B-Instruct-Q4_0,llamacpp,cuda,humaneval,164,164,1,46.95121951219512,0.010132842348147753,36478.23245333191,0.0017636212106951167,6055368.879981217,51675,8126,0.11227706874289163,0.018162204689384533,55.05939488637529,360.2480413956991,1.0121921620717862,4.489076107966024,4
Qwen/Qwen2.5-3B-Instruct-Q4_0,llamacpp,cuda,humaneval,164,164,1,46.95121951219512,0.010456994822310259,37645.18136031693,0.0018200399488231007,6253905.935900125,51675,8126,0.11205924138790224,0.018182370863963078,54.99832818733065,359.97015522816537,1.012973544074268,4.632682914141881,4
Qwen/Qwen2.5-3B-Instruct-Q4_0,llamacpp,cuda,humaneval,164,164,1,46.95121951219512,0.009900658570124189,35642.37085244708,0.001723209624130115,5925418.607671682,51675,8126,0.11220176481619114,0.018194116191737265,54.9628236657158,359.71288451883976,1.0136980341701973,4.386213494024991,4
Qwen/Qwen2.5-3B-Instruct-Q4_0,llamacpp,cuda,mmlu,1140,1140,1,63.50877192982456,0.006818603763281085,24546.973547811907,0.001186777984999073,2608364.0835281266,170633,1140,0.07559698318180284,0.017613638702191806,56.774186010501175,1616.5332569389473,0.09321062188399465,21.53243293667711,4
Qwen/Qwen2.5-3B-Instruct-Q4_0,llamacpp,cuda,mmlu,1140,1140,1,63.50877192982456,0.00689878658532436,24835.631707167697,0.0012007338051757048,2638902.239724242,170633,1140,0.07557288659246345,0.017632978004321717,56.711917848188044,1616.6157658349296,0.09320586459678516,21.785641848392718,8
